win_team,lose_team,probability
Boston Celtics,Philadelphia 76ers,0.6242773573295247
Golden State Warriors,Oklahoma City Thunder,0.6999177851584403
Charlotte Hornets,Milwaukee Bucks,0.5748423482667364
Detroit Pistons,Brooklyn Nets,0.6330972417402058
Houston Rockets,New Orleans Pelicans,0.7606772585710627
Indiana Pacers,Memphis Grizzlies,0.8878145675330219
Los Angeles Clippers,Denver Nuggets,0.6240759954296821
New York Knicks,Atlanta Hawks,0.5643904921385258
Miami Heat,Orlando Magic,0.6799262404225084
Dallas Mavericks,Phoenix Suns,0.5929250972236306
Utah Jazz,Sacramento Kings,0.8235180434612129
San Antonio Spurs,Minnesota Timberwolves,0.6608653258309425
Toronto Raptors,Cleveland Cavaliers,0.6706907202995142
Philadelphia 76ers,Chicago Bulls,0.8210339947280482
Portland Trail Blazers,Los Angeles Lakers,0.6914197685451801
Washington Wizards,Miami Heat,0.5399742599608637
New York Knicks,Brooklyn Nets,0.5727773216780341
Oklahoma City Thunder,Los Angeles Clippers,0.557782938805067
Atlanta Hawks,Memphis Grizzlies,0.5455393882888351
Indiana Pacers,Milwaukee Bucks,0.6058222333996073
Minnesota Timberwolves,Cleveland Cavaliers,0.5878179993631722
New Orleans Pelicans,Sacramento Kings,0.785132217177973
Orlando Magic,Charlotte Hornets,0.559955769245754
Toronto Raptors,Boston Celtics,0.5095579370339194
Golden State Warriors,Utah Jazz,0.672846890659548
Detroit Pistons,Chicago Bulls,0.6429420629056438
Minnesota Timberwolves,Dallas Mavericks,0.7414353692131053
Denver Nuggets,Phoenix Suns,0.8119022964363246
Indiana Pacers,Brooklyn Nets,0.7801547576798045
Houston Rockets,Los Angeles Lakers,0.8323082249703588
Miami Heat,Charlotte Hornets,0.6725951821244932
Boston Celtics,New York Knicks,0.8804553419581534
Philadelphia 76ers,Orlando Magic,0.7382019467154307
Portland Trail Blazers,San Antonio Spurs,0.5609415634928198
Washington Wizards,Toronto Raptors,0.5091884948666703
Cleveland Cavaliers,Atlanta Hawks,0.8418535579874747
Golden State Warriors,Denver Nuggets,0.5766616399870532
Houston Rockets,Los Angeles Clippers,0.7285509291101666
Oklahoma City Thunder,Sacramento Kings,0.7828468061782489
Boston Celtics,Orlando Magic,0.848160017698946
Dallas Mavericks,Chicago Bulls,0.5773372533081953
Golden State Warriors,Phoenix Suns,0.8976430266008858
San Antonio Spurs,Los Angeles Lakers,0.6169441494408079
Milwaukee Bucks,New York Knicks,0.593621144619772
Minnesota Timberwolves,Indiana Pacers,0.6616838859873393
Portland Trail Blazers,Washington Wizards,0.6243983947275108
Toronto Raptors,Charlotte Hornets,0.8817916180049138
Utah Jazz,Memphis Grizzlies,0.8213665522712206
Denver Nuggets,Sacramento Kings,0.8305603613716155
Philadelphia 76ers,Detroit Pistons,0.6187094450511446
New Orleans Pelicans,Los Angeles Clippers,0.7338836913052114
Dallas Mavericks,Atlanta Hawks,0.5805926730590771
Charlotte Hornets,Chicago Bulls,0.5554726027067463
Cleveland Cavaliers,Brooklyn Nets,0.7567771625942514
Golden State Warriors,Washington Wizards,0.814654935164843
